Location,Price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built,yr_renovated,sqft_living15,sqft_lot15
"Sheetal Vihar, Bhagwant Nagar, Dr.Homi Bhabha Nagar,Nashik",221900,3,1,1180,5650,1,1180,0,1955,0,1340,5650
"Samraat Dream Citi, Samta Nagar, Nashik",538000,3,2.25,2570,7242,2,2170,400,1951,1991,1690,7639
"Suryaprakash Apartment,Nashik Road, Nashik",180000,2,1,770,10000,1,770,0,1933,0,2720,8062
"Adishvar Residency,Nashik Road, Nashik",604000,4,3,1960,5000,1,1050,910,1965,0,1360,5000
"Nashik Road, Nashik",510000,3,2,1680,8080,1,1680,0,1987,0,1800,7503
"Gurucharani,Nashik Road, Nashik",1230000,4,4.5,5420,101930,1,3890,1530,2001,0,4760,101930
"CDO-MERI Colony, Nashik",257500,3,2.25,1715,6819,2,1715,0,1995,0,2238,6819
"Ram Sneh Apartment,Nashik Road, Nashik",291850,3,1.5,1060,9711,1,1060,0,1963,0,1650,9711
"gajanan pushp aptshiram nagar,Nashik Road, Nashik",229500,3,1,1780,7470,1,1050,730,1960,0,1780,8113
"B2 LAXMI RESIDENCY ,Nashik Road, Nashik",323000,3,2.5,1890,6560,2,1890,0,2003,0,2390,7570
"krishnabaug apartment,Nashik Road, Nashik",662500,3,2.5,3560,9796,1,1860,1700,1965,0,2210,8925
"krishnabaug apartment,Nashik Road, Nashik",468000,2,1,1160,6000,1,860,300,1942,0,1330,6000
"Nashik Road, Nashik",310000,3,1,1430,19901,1.5,1430,0,1927,0,1780,12697
"Nashik Road, Nashik",400000,3,1.75,1370,9680,1,1370,0,1977,0,1370,10208
"Nashik Road, Nashik",530000,5,2,1810,4850,1.5,1810,0,1900,0,1360,4850
"Shanti Prasad Cooperative Society, Nashik Road, Nashik",650000,4,3,2950,5000,2,1980,970,1979,0,2140,4000
"Town Squire City Apartment,Nashik Road, Nashik",395000,3,2,1890,14040,2,1890,0,1994,0,1890,14018
"Panchawati, Hirawadi,Nashik",485000,4,1,1600,4300,1.5,1600,0,1916,0,1610,4300
"Anand Nagar, Nashik Road,Nashik",189000,2,1,1200,9850,1,1200,0,1921,0,1060,5095
"Gandhi Nagar Airport Area, Deolali Gaon,Nashik",230000,3,1,1250,9774,1,1250,0,1969,0,1280,8850
"Gandhi Nagar Airport Area, Deolali Gaon,Nashik",385000,4,1.75,1620,4980,1,860,760,1947,0,1400,4980
"Deepak Panchdeep Renukamata Housing Society by Deepak Constructions, Gandhi Nagar Airport Area, Deolali Gaon,Nashik",2000000,3,2.75,3050,44867,1,2330,720,1968,0,4110,20336
"Sai Samarth Sankul, Nashik Road, Nashik",285000,5,2.5,2270,6300,2,2270,0,1995,0,2240,7005
"Jagtap Nagar, Nashik",252700,2,1.5,1070,9643,1,1070,0,1985,0,1220,8386
"Khutwad Nagar, Nashik",329000,3,2.25,2450,6500,2,2450,0,1985,0,2200,6865
"Gandharv Nagari, Nashik Road, Nashik",233000,3,2,1710,4697,1.5,1710,0,1941,0,1030,4705
"Chandravilas Housing Society Ingale Nagar Jail Road Nashik Road,Nashik Road, Nashik",937000,3,1.75,2450,2691,2,1750,700,1915,0,1760,3573
"Nashik Road, Nashik",667000,3,1,1400,1581,1.5,1400,0,1909,0,1860,3861
"Ayodhya Nagari, Nashik",438000,3,1.75,1520,6380,1,790,730,1948,0,1520,6235
"Nashik Road, Nashik",719000,4,2.5,2570,7173,2,2570,0,2005,0,2630,6026
"vitthal park apartment,Nashik Road, Nashik",580500,3,2.5,2320,3980,2,2320,0,2003,0,2580,3980
"Time Residency,Shivaji Nagar, Nashik",280000,2,1.5,1190,1265,3,1190,0,2005,0,1390,1756
"Rudraksh Apartment,Abhang Nagar, Om Nagar,Nashik",687500,4,1.75,2330,5000,1.5,1510,820,1929,0,1460,5000
"Dattanagar, Dattanagar,Nashik",535000,3,1,1090,3000,1.5,1090,0,1929,0,1570,5080
"Shri Ram Nagar, Nashik",322500,4,2.75,2060,6659,1,1280,780,1981,0,2020,8720
"Prabhat Colony, Nashik",696000,3,2.5,2300,3060,1.5,1510,790,1930,2002,1590,3264
"Neelkanth River View, Koknipura, Nashik",550000,4,1,1660,34848,1,930,730,1933,0,2160,11467
"Asher Enclave,Nashik Road, Nashik",640000,4,2,2360,6000,2,2360,0,1904,0,1730,4700
"Nashik Road, Nashik",240000,4,1,1220,8075,1,890,330,1969,0,1290,7800
"Mane complex,Nashik Road, Nashik",605000,4,2.5,2620,7553,2,2620,0,1996,0,2620,11884
"Matoshri Nagar, Nashik Road,Nashik",625000,4,2.5,2570,5520,2,2570,0,2000,0,2470,5669
"Mane complex,Nashik Road, Nashik",775000,4,2.25,4220,24186,1,2600,1620,1984,0,2410,30617
"sukhsagar appament,Pintoo Colony, Nashik Road,Nashik",861990,5,2.75,3595,5639,2,3595,0,2014,0,3625,5639
"Nashik Road, Nashik",685000,3,1,1570,2280,2,1570,0,1922,0,1580,2640
"Nashik Road, Nashik",309000,3,1,1280,9656,1,920,360,1959,0,1340,8808
"Pawar Wadi, Nashik",488000,3,2.5,3160,13603,2,3160,0,2003,0,3050,9232
"Nashik Road, Nashik",210490,3,1,990,8528,1,990,0,1966,0,1228,8840
"Shree Chintamani Palace,Ayodhya Nagar, Nashik Road,Nashik",785000,4,2.5,2290,13416,2,2290,0,1981,0,2680,13685
"Pawar Wadi, Nashik",450000,3,1.75,1250,5963,1,1250,0,1953,0,970,5100
"Nashik Road, Nashik",1350000,3,2.5,2753,65005,1,2165,588,1953,0,2680,72513
"Nashik Road, Nashik",228000,3,1,1190,9199,1,1190,0,1955,0,1190,9364
"Nashik Road, Nashik",345000,5,2.5,3150,9134,1,1640,1510,1966,0,1990,9133
"Tushar appartment,CDO-MERI Colony, Nashik",600000,3,1.75,1410,4080,1,1000,410,1950,0,1410,4080
